date,price_usd,phase,cycle,bull_monthly,bear_drop_total,r_avg_total
2025-11-01,111652.9,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2025-12-01,98782.65,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-01-01,87395.95,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-02-01,77321.8,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-03-01,68408.9,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-04-01,60523.39,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-05-01,53546.85,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-06-01,47374.49,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-07-01,41913.63,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-08-01,37082.23,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-09-01,32807.76,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-10-01,29026.0,Bear,5,0.06475416506077214,0.77,0.01657558235759047
2026-11-01,30905.55,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2026-12-01,32906.82,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-01-01,35037.67,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-02-01,37306.51,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-03-01,39722.26,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-04-01,42294.44,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-05-01,45033.18,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-06-01,47949.27,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-07-01,51054.18,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-08-01,54360.15,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-09-01,57880.2,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-10-01,61628.18,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-11-01,65618.86,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2027-12-01,69867.96,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-01-01,74392.2,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-02-01,79209.41,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-03-01,84338.54,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-04-01,89799.82,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-05-01,95614.73,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-06-01,101806.18,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-07-01,108398.55,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-08-01,115417.81,Bull,5,0.06475416506077214,0.77,0.01657558235759047
